Author Name,Affiliation
Stina S. Bridgeman,"Hobart & William Smith Colleges, Hobart, IN, USA"
Stuart A. Tobet,"E.K. Shriver Center, Harvard Program in Neurosci., Boston, MA, USA"
Stuart J. Rose,"Pacific Northwest Nat. Lab., Richland, WA, USA"
Stuart K. Card,"Palo Alto Res. Center, CA"
Stuart Smith,"Dept. of Comput. Sci., Lowell Univ., MA, USA"
Sujal Bista,"Univ. of Maryland, College Park, MD, USA"
Sujan Anreddy,"Mississippi State Univ., Starkville, MS, USA"
Sujin Jang,"Purdue Univ. in West LafayetteWest Lafayette, West Lafayette, IN, USA"
Sukwon Lee,"School of Industrial Engineering, Purdue University, West Lafayette, IN, USA"
Sungahn Ko,"Purdue Univ. in West Lafayette, West Lafayette, IN, USA"
Sung-Eui Yoon,Korea Adv. Inst. of Sci. & Technol.
Sung-Hee Kim,"Samsung Electronics Co., Ltd., Seoul, South Korea"
SungYe Kim,"Purdue Univ., West Lafayette"
Sunil Hadap,"Geneva Univ., Switzerland"
Supriya Garg,"Comput. Sci. Dept., Stony Brook Univ., Stony Brook, NY, USA"
Suresh K. Lodha,"Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA"
Susan Brennan,"Stony Brook Univ., NY"
Susan L. Havre,"Pacific Northwest Nat. Lab., Richland, WA, USA"
Susanne K. Suter,"Univ. of Zurich, Zurich, Switzerland"
Suvi Tarkkanen,"Dept. of Math. Inf. Technol., Univ. of Jyvaskyla, Jyvaskyla, Finland"
Suya You,"Center for Visual Comput., State Univ. of New York, Stony Brook, NY, USA"
Suzana Djurcilov,"Dept. of Comput. Sci., California Univ., Santa Cruz, CA, USA"
Sven Bachthaler,"Visualization Res. Center, Univ. Stuttgart, Stuttgart"
Sven Kuschfeldt,"Comput. Graphics Group, Erlangen-Nurnberg Univ., Germany"
Sye-Min Chan,"Stanford Univ., Stanford, CA"
Sylvia Glaßer,"Dept. for Simulation & Graphics, Univ. of Magdeburg, Magdeburg, Germany"
T. J. Jankun-Kelly,"Dept. of Comput. Sci. & Eng., Mississippi State Univ., MS"
T. J. True,"Digital Equipment Corp., Maynard, MA, USA"
T. Todd Elvins,"Adv. Sci. Visualization Lab., San Diego, CA, USA"
Tae Jung Kim,Samsung Medical Center
Tai-Quan Peng,"Michigan State University, United States of America"
Takafumi Saito,"Tokyo Univ. of Agric. & Technol., Japan"
Takayuki Itoh,"Tokyo Research Laboratory, IBM Japan, IBM Japan"
Tamal K. Dey,"Ohio State Univ., Columbus, OH, USA"
Tamara Munzner,"Univ. of British Columbia, Vancouver, BC, Canada"
Tanja Blascheck,"University of Stuttgart, Germany"
Tao Ju,"Washington Univ. in St. Louis, St. Louis, MO, USA"
Taosong He,"AT&T Bell Labs., Naperville, IL, USA"
Taowei David Wang,"Dept. of Comput. Sci., Univ. of Maryland at Coll. Park, College Park, MD, USA"
Tarek K. Alameldin,"Visualization Lab., Texas A&M Univ., College Station, TX, USA"
Tarik Crnovrsanin,VIDi @ U. C. Davis
Tatiana von Landesberger,"Tech. Univ. of Darmstadt, Darmstadt, Germany"
Ted Mihalisin,"Mihalisin Associates, Ambler, PA, USA"
Teng-Yok Lee,"Ohio State Univ., Columbus, OH, USA"
Teodora Chitiboi,"FraunhoferMEVIS, Jacobs University Bremen"
Tera Marie Green,"Sch. of Interactive Arts + Sci., Simon Fraser Univ., Surrey, BC, Canada"
Terry S. Yoo,"Nat. Libr. of Med., Bethesda, MD, USA"
Teruhiko Teraoka,"Adv. Technol. R&D Center, Mitsubishi Electr. Corp., Amagasaki, Japan"
Theresa-Marie Rhyne,North Carolina State University
Theresia Gschwandtner,"Vienna University of Technology, Austria"
Thierry Delmarcelle,"Dept. of Appl. Phys., Stanford Univ., CA, USA"
Thomas A. Foley,"Dept. of Comput. Sci., Arizona State Univ., Tempe, AZ, USA"
Thomas A. Wagner,"Massachusetts Univ., Amherst, MA, USA"
Thomas Auzinger,"Vienna Univ. of Technol., Vienna, Austria"
Thomas Butkiewicz,The Center for Coastal and Ocean MappingThe University of New Hampshire
Thomas C. Sprenger,"Dept. of Comput. Sci., Swiss Fed. Inst. of Technol., Zurich, Switzerland"
Thomas Ertl,"Visualization Research Center (VISUS), University of Stuttgart, Germany"
Thomas Frühauf,"Fraunhofer Inst. for Comput. Graphics, Darmstadt, Germany"
Thomas Gerstner,"Dept. for Appl. Math., Bonn Univ., Germany"
Thomas Höllt,"King Adbullah Univ. of Sci. & Technol., Thuwal, Saudi Arabia"
Thomas J. Overbye,"Illinois Univ., Urbana, IL, USA"
Thomas Klein,"Inst. for Visualization & Interactive Syst., Stuttgart Univ., Germany"
Thomas Löwe,"Comput. Graphics Lab., Tech. Univ. Braunschweig, Braunschweig, Germany"
Thomas Mühlbacher,"VrVis Research Center, Vienna, Austria"
Thomas Müller,"Visualization Res. Center (VISUS), Univ. of Stuttgart, Stuttgart, Germany"
Thomas Schultz,"Univ. of Bonn, Bonn, Germany"
Thomas Theußl,"Inst. of Comput. Graphics & Algorithms, Technische Univ. Wien, Vienna, Austria"
Thomas Torsney-Weir,University of Vienna
Thomas Wischgoll,University of California at Irvine
Thorsten Büring,"University of Konstanz, Germany"
Thorsten Liebig,"derivo GmbH, Ulm Univ., Ulm, Germany"
Thorsten May,"Fraunhofer IGD, Darmstadt, Germany"
Tiago Etiene,"Sch. of Comput. & Sci. Comput., Univ. of Utah, Salt Lake City, UT, USA"
Tichomir Tenev,"Xerox Palo Alto Res. Center, CA, USA"
Tien Nguyen,"Dept. of Electr. & Comput. Eng., Iowa State Univ., Ames, IA"
Tim Dwyer,Monash University
Tim Gerrits,"Visual Computing group at the University of Magdeburg, Germany"
Tim Lammarsch,"Dept. of Inf. & Knowledge Eng. (ike), Danube Univ. Krems, Krems"
Tim McGraw,"West Virginia Univ, Morgantown"
Timo Ropinski,"Visual Computing Group, Ulm University"
Timothy Urness,University of Minnesota
Tino Weinkauf,"Courant Inst. of Math. Sci., New York Univ., New York, NY, USA"
Tobias Günther,"Visual Computing Group, University of Magdeburg"
Tobias Isenberg,"Inria, France"
Tobias Kulschewski,"Institute of Technical Biochemistry (ITB), University of Stuttgart, Germany"
Tobias Preußer,"Inst. fur Angewandte Math., Bonn Univ., Germany"
Tobias Ruppert,"Fraunhofer Inst. for Comput. Graphics Res. (IGD), Darmstadt, Germany"
Tobias Schreck,"Graz University of Technology, Austria"
Tobias Skog,"Future Applications Lab, Viktoria Inst., Goteborg, Sweden"
Tolga Tasdizen,"Sch. of Comput., Utah Univ., Salt Lake City, UT, USA"
Tomihisa Welsh,"Center for Visual Comput., Comput. Sci., Stony Brook Univ., USA"
Tom M. Morrow,"Oracle Corp., Redwood Shores, CA, USA"
Tom Polk,"Univ. of North Carolina at Charlotte, Charlotte, NC, USA"
Tom Roxborough,"Arizona State Univ., Tempe, AZ, USA"
Tongshuang Wu,Hong Kong University of Science and Technology
Torsten Möller,University of Vienna
Toshiyuki Masui,"Sony Comput. Sci. Labs. Inc., Tokyo, Japan"
Tran S. Gieng,"Center for Image Process. & Integrated Comput., California Univ., Davis, CA, USA"
Trevor M. O'Brien,"Comput. Sci. Dept., Brown Univ., Providence, RI, USA"
Tuan Pham,"Sch. of Electr. Eng. & Comput. Sci., Oregon State Univ., Corvallis, OR, USA"
Tushar Athawale,"Dept. of Comput. & Inf. Sci. & Eng., Univ. of Florida, Gainesville, FL, USA"
Tzi-cker Chiueh,"Center for Visual Comput., State Univ. of New York, Stony Brook, NY, USA"
Tzu-Wei Hsu,Georgia Institute of Technology
Udeepta Bordoloi,"Ohio State Univ., Columbus, OH, USA"
Udo Adamy,"Inst. for Theor. Comput. Sci., Eidgenossische Tech. Hochschule, Zurich, Switzerland"
Ulf Tiede,"Inst. of Math. & Comput. Sci. in Med., Eppendorf Univ. Hosp., Hamburg, Germany"
Ulrich Clarenz,"Inst. for Appl. Math., Bonn Univ., Germany"
Ulrich Lang,"Stuttgart Univ. Comput. Center, Germany"
Ulrik Brandes,University of Konstanz
Upul Obeysekare,"Naval Res. Lab., Washington, DC, USA"
Usman R. Alim,University of Calgary
Uta Hinrichs,"SACHI Group, Univ. of St. Andrews, St. Andrews, UK"
Vadim A. Slavin,Brown University
Vahid Taimouri,"Dept. of Comput. Sci., Wayne State Univ., Detroit, MI, USA"
Valentin Zobel,Leipzig University
Valerio Pascucci,SCI InstituteUniversity of Utah
Vasily Volkov,"Moscow Inst. of Phys. & Technol., Russia"
Veronika Soltészová,"Christian Michelsen Res., Bergen, Norway"
Victor Guallar,Barcelona Supercomputing Center
Victoria Interrante,"ICASE, NASA Langley Res. Center, USA"
Victor Matvienko,Saarland University
Victor Pascual-Cid,"Web Res. Group, Univ. Pompeu Fabra & Fundacio Barcelona Media, Barcelona"
Victor Y. Chen,"Interaction Design, Purdue Univ., West Lafayette, IN, USA"
Vid Petrovic,"Univ. of California at Irvine, Irvine"
Vijendra Jaswal,"Nat. Center for Supercomput. Applications, Champaign, IL, USA"
VinhTuan Thai,"Digital Enterprise Res. Inst., Nat. Univ. of Ireland, Galway, Ireland"
Vinod Anupam,"AT&T Bell Labs., Murray Hill, NJ, USA"
Vishram Pandit,"Dept. of Electr. Eng., Utah Univ., Salt Lake City, UT, USA"
Vivek Kothari,University of Oxford
Vivek Verma,"Dept. of Comput. Sci., Univ. of Southern California, Los Angeles, CA, USA"
Vladimir Pekar,"Philips Res. Lab., Hamburg, Germany"
Voicu Popescu,"Purdue Univ., USA"
W. Bradford Paley,Digital Image Design & Columbia University
W. E. Lorenson,"General Electric Corp., Schenectady, NY, USA"
W. R. Feeney,"Dept. of Inf. & Decisions Syst., San Diego State Univ., San Diego, CA, USA"
W. Wright,"Visible Decisions Inc., Toronto, Ont., Canada"
Walter Jiménez,"OGI Sch. of Sci. & Eng., Oregon Health & Sci. Univ., Portland, OR, USA"
Walter Marcelo Lamagna,"Master on Datamining & Knowledge Discovery, Univ. de Buenos Aires, Buenos Aires, Argentina"
Wan-Chiu Li,INRIA-Alice
Wanqi Hu,"State Key Lab of CAD&CG, Zhejiang University, China"
Waqas Javed,"Purdue Univ. in West Lafayette, West Lafayette, IN, USA"
Wayne E. Fordyce,"Res. Comput. Services, Syracuse Univ., NY, USA"
Wei-Chao Chen,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Weichao Wang,Kansas Univ.
Wei Chen,Zhejiang University
Weifeng Chen,"State Key Lab. of CAD&CG, Zhejiang Univ., Hangzhou, China"
Wei Hong,"Dept. of Comput. Sci., Stony Brook Univ., NY"
Wei-Hsien Hsu,"Univ. of California, Davis, Davis, CA, USA"
Weijia Xu,"Univ. of Texas at Austin, Austin, TX, USA"
Wei Li,"Dept. of Comput. Sci., Stony Brook Univ., NY, USA"
Weimao Ke,Indiana University
Wei Peng,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA"
Wei Qiao,"Purdue Univ., West Lafayette, IN"
Weiwei Cui,Microsoft Research Asia
Wei Zeng,"Nanyang Technol. Univ., Singapore, Singapore"
Wenchao Wu,Hong Kong University of Science and Technology
Wendy S. Koegler,"Sandia Nat. Labs., Livermore, CA, USA"
Wenli Cai,"Fraunhofer Inst. for Comput. Graphics, Germany"
Wenwen Dou,"UNC, Charlotte, NC, USA"
Wen Zhong,"Computer Science Department, Stony Brook University"
Wesley Willett,University of Calgary
Wieland Reich,"Univ. of Leipzig, Leipzig, Germany"
William C. Ray,"Res. Inst., Ohio State Univ. Biophys. Program, Columbus, OH, USA"
William Chao,"Simon Fraser Univ., Columbia"
William E. Lorensen,"Corp. Res. & Dev., Gen. Electr. Co., Schenectady, NY, USA"
William F. Garrett,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
William J. Schroeder,"Gen. Electr. Corp. Res. & Dev. Center, Schenectady, NY, USA"
William L. Barth,"Texas Advanced Computing Center, Austin"
William L. Hibbard,"Space Sci. & Eng. Center, Wisconsin Univ., Madison, WI, USA"
William S. Cleveland,"Dept. Stat. Res., Bell Labs., Holmdel, NJ, USA"
Wilmot Li,Adobe Research
Wilson S. Geisler,"Dept. of Psychol., Texas Univ., Austin, TX, USA"
Wim C. de Leeuw,Swammerdam Inst. for Life Sci.
Wolfgang Berger,"VRVis Res. Center, Vienna, Austria"
Wolfgang Freiler,"VRVis Res. Center, Vienna"
Wolfgang Krüger,"ART+COM e.V., Berlin, Germany"
Wolfram von Funck,"MPI Informatlk, Saarbrucken"
Won-Ki Jeong,"Sch. of Eng. & Appl. Sci., Harvard Univ., Cambridge, MA, USA"
Wouter Meulemans,"giCentre, City University, London"
X. Lin,"Center for Comput. Legal Res., Pace Univ., White Plains, NY, USA"
Xavier Tricoche,"Purdue Univ., West Lafayette, IN, USA"
Xianfeng Gu,"Computer Science Department, Stony Brook University, Stony Brook, NY"
Xiaohong Bao,University of California at Irvine
Xiaohong Ye,"Comput. Sci. Dept., UCSC, USA"
Xiaojuan Ma,Hong Kong University of Science and Technology
Xiaolin Wu,"Dept. of Comput. Sci., Western Ontario Univ., London, Ont., Canada"
Xiaoming Wei,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
Xiaoqiang Zheng,"Comput. Sci. Dept., California Univ., Santa Cruz, CA, USA"
Xiaoru Yuan,"Key Laboratory of Machine Perception (Ministry of Education), Peking University, China"
Xiaotong Liu,"GRAVITY group, The Ohio State University"
Xiaoyang Mao,"Dept. of Comput. & Media Eng., Yamanashi Univ., Kofu, Japan"
Xiaoyu Wang,"UNC Charlotte, Charlotte, NC, USA"
Xin Li,China Petroleum University
Xinsong Yang,"Chinese Academy of Sciences, SKLCSInstitute of Software"
Xin Tong,The Ohio State University
Xinxin Huang,"State Key Lab of CAD&CG, Zhejiang University, China"
Xinyue Ye,Kent State University
XiongFei Luo,"Chinese Acad. of Sci., Grad. Univ., Beijing, China"
Xiting Wang,"School of Software, Tsinghua University, China"
Xuexiang Xie,Nanyang Technol. Univ.
Yadong Wu,"Southwest University of Science and Technology, China"
Yael Albo,"Univ. of Haifa, Haifa, Israel"
Yafeng Lu,"Arizona State Univ., Tempe, AZ, USA"
Yair Kurzion,"Dept. of Comput. & Inf. Sci., Ohio State Univ., Columbus, OH, USA"
Yalong Yang,"Monash University, Data61, CSIRO, Victoria"
Yang Chen,"School of Software, Tsinghua University, China"
Yang Wang,"University of California, Davis"
Yanhong Wu,Hong Kong University of Science and Technology
Yanhua Chen,"Dept. of Comput. Sci., Wayne State Univ., Detroit, MI, USA"
Yaniv Frishman,"Israel Inst. of Technol., Haifa"
Yan Ke,"Dept. of Comput. Sci., Saskatchewan Univ., Saskatoon, Sask., Canada"
Yarden Livnat,"Sci. Comput. & Imaging Inst., Utah Univ., USA"
Yaser Yacoob,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA"
Yasuko Suzuki,"Mitsubishi Electr. Corp., Japan"
Yedendra Babu Shrinivasan,"Eindhoven Univ. of Technol., Eindhoven, Netherlands"
Yehuda Koren,"The Weizmann Institute of Science, Rehovot, Israel"
Yeukyin Chan,Hong Kong University of Science and Technology
Ye Zhao,Kent State University
Yi-Chih Tsai,"Nat. Taiwan Univ., Taipei, Taiwan"
Yifan Zhang,Arizona State University
Yi Gu,"Dept. Comput. Sci. & Eng., Univ. of Notre Dame, Notre Dame, IN, USA"
Yi Han,"Sch. of Interactive Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Yi-Jen Chiang,"Dept. of Comput. & Inf. Sci., Polytech. Univ., Brooklyn, NY, USA"
Yi Mao,"Purdue Univ., West Lafayette"
Yingcai Wu,State Key Lab of CAD & CGZhejiang University
Yingcai Xiao,"Dept. of Math., Akron Univ., OH, USA"
Yinggang Li,"Indiana Univ., IN"
Ying-Huey Fua,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA, USA"
Yingmei Lavin,"Dept. of Phys., Stanford Univ., CA, USA"
Ying Tu,"Comput. Sci. & Eng. Dept., Ohio State Univ., Columbus, OH"
Yingyu Wu,Kent State University
Yi Wang,"Virginia Tech., Blacksburg, VA"
Yiwen Sun,"Electron. Visualization Lab., Univ. of Illinois at Chicago, Chicago, IL, USA"
Yixian Zheng,Hong Kong University of Science and Technology
Yong Wan,"Sci. & Imaging Inst., Univ. of Utah, Salt Lake City, UT, USA"
Yong Zhou,"Center for Visual Comput., State Univ. of New York, Stony Brook, NY, USA"
Yootai Kim,"Ohio State Univ., Columbus, OH, USA"
Yoram Moses,"Dept. of Electr. Eng., Technion-Israel Inst. of Technol., Haifa, Israel"
Youhao Wei,University of Arizona
Youn ah Kang,"Georgia Inst. of Technol., Atlanta, GA, USA"
Youngmin Kim,"Maryland Univ., College Park, MD"
Youwei Zhang,"Dept. of Comput. Sci., British Columbia Univ., Vancouver, BC, Canada"
Yuan Chen,"Johns Hopkins Univ., Baltimore"
Yuanzhe Chen,"Hong Kong University of Science and Technology, China"
Yuan Zhou,"Dept. of Comput. Sci., Illinois Univ., Urbana, IL"
Yubo Tao,State Key Lab. of CAD&amp
Yubo Zhang,"Univ. of California, Davis, Davis, CA, USA"
Yuhong Li,University of Macau
Yu-Hsuan Chan,"Univ. of California at Davis, Davis, CA, USA"
Yumeng Hou,"State Key Lab of CAD&CG, Zhejiang University, China"
Yun Jang,"ETH Zurich, Zurich, Switzerland"
Yuntao Jia,"Illinois Univ., Urbana, IL"
Yun Wang,Hong Kong University of Science and Technology
Yuqun Chen,"Dept. of Comput. Sci., Princeton Univ., NJ, USA"
Yuri A. Ivanov,Mitsubuishi Electr. Res. Labs.
Yuriko Takeshima,JAERI
Yu-Shuen Wang,"Dept. of Comput. Sci. & Inf. Eng., Nat. Cheng-Kung Univ., Tainan"
Yuyan Song,"Purdue Univ., West Lafayette, IN"
Yu Zheng,"Microsoft Research, Beijing, China"
Yuzuru Tanahashi,"ViDi Res. Group, Univ. of California, Davis, CA, USA"
Yves Chiricota,"Quebec Univ., Chicoutimi, Que."
Yves Jean,"Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"
Yvonne Jansen,University of Copenhagen
Zachary Pousman,"Georgia Inst.of Technol, Atlanta"
Zachi Karni,"Fac. of Comput. Sci., Technion - Israel Inst. of Technol., Haifa, Israel"
Zafar Ahmed,Sch. of Comput. Sci. &amp
Zahid Hossain,"Graphics, Usability, & Visualization (GrUVi) Lab., Simon Fraser Univ., Burnaby, BC, Canada"
Zaixian Xie,"Dept. of Comput. Sci., Worcester Polytech. Inst., MA"
Zeki Melek,"Dept. of Comput. Sci., Texas A&M Univ., College Station, TX"
Zhanping Liu,"HPC, Mississippi State Univ., MS"
Zhao Geng,"Visual Comput. Group, Swansea Univ., Swansea, UK"
Zhaohua Ding,"Dept. of Diagnostic Radiol., Yale Univ. Sch. of Med., New Haven, CT, USA"
Zhenhuang Wang,"Key Laboratory of Machine Perception (Ministry of Education), Peking University, China"
Zhen Li,School of Software and TNListTsinghua University
Zhen Wen,"IBM T. J. Watson Res. Center, Hawthorne, NY"
Zhenyu Guo,"Comput. Sci. Dept., Worcester Polytech. Inst., Worcester, MA, USA"
Zhe Wang,University of Arizona
Zhicheng Liu,Adobe Research
Zhifan Zhu,"NSF Eng. Res. Center for Comput. Field Simulation, Mississippi State Univ., MS, USA"
Zhipeng Wang,China Academy of Art
Zhongjie Wang,"MPI for Inf., Saarbrucken, Germany"
Zicheng Liao,"Univ. of Illinois at Urbana-Champaign, Urbana, IL, USA"
Zichun Zhong,Wayne State University
Ziyi Zheng,"Comput. Sci. Dept., Stony Brook Univ., Stony Brook, NY, USA"
Zoë J. Wood,"California Inst. of Technol., Pasadena, CA, USA"
Zoltan Konyha,"VRVis Res. Center, Austria"
Zoya Maslak,"Dept. of Art, Utah Univ., Salt Lake City, UT, USA"
Zuchao Wang,"Key Lab. of Machine Perception, Peking Univ., Beijing, China"
